Assembly-AssemblyType,Category-Connection,Category-Coordinate,Category-Document,Category-Element,Category-Facility,Category-Floor,Category-Impact,Category-Issue,Category-Job,Category-Product,Category-Resource,Category-Role,Category-Space,Category-Spare,Category-Zone,Document-ApprovalBy,Impact-ImpactStage,Issue-Chance,Issue-Impact,Issue-Risk,Job-Status,SheetName,SheetName-Assembly,SheetName-Coordinate,Stage,Type-AssetType,Units-Area,Units-Currency,Units-Duration,Units-Impact,Units-Linear,Units-Volume,objAssembly,objAttribute,objAttributeType,objComponent,objConnection,objContact,objCoordinate,objDocument,objFacility,objFloor,objImpact,objIssue,objJob,objProject,objResource,objSite,objSpace,objSpare,objSystem,objType,objWarranty,objZone
,,,,21-02 20 10 80 Exterior Wall Supplementary Components,11-13 21 44 Military Exchange Support Facility,,,,,23-11 21 19 Pavement Slabs,,34-55 14 19 11 Salesperson,13-23 23 15 Shop Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 10 90 Exterior Wall Opening Supplementary Components,11-13 21 47 Military Exchange Warehouse,,,,,23-11 21 21 Pavement Drainage,,34-55 14 22 Financial Roles,13-23 23 17 Access Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 20 Exterior Windows,11-13 21 51 Simulation Facility,,,,,23-11 21 21 11 Culverts,,34-55 14 22 11 Accountant,13-23 23 19 Areaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 20 10 Exterior Operating Windows,11-13 21 54 Military Training Support Facility,,,,,23-11 21 21 11 11 Pipe Culverts,,34-55 14 22 14 Banker,13-23 23 21 Service Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 20 20 Exterior Fixed Windows,11-13 21 57 Military Training Facility Other Than Building,,,,,23-11 21 21 11 11 11 Metal Pipe Arch Culverts,,34-55 14 22 17 Record Keeper,13-23 23 23 Furred Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 20 30 Exterior Window Wall,"11-13 21 61 Impact, Maneuver, and Training Area",,,,,23-11 21 21 11 13 Concrete Culverts,,34-55 14 22 21 Bookkeeper,13-23 23 25 Crawl Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 20 50 Exterior Special Function Windows,11-13 21 64 Small Arms Range,,,,,23-11 21 21 11 13 11 Concrete Arch Buried Bridge Culverts,,34-55 14 24 Lawyer,13-23 23 27 Attic Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 50 Exterior Doors and Grilles,11-13 21 67 Weapon Range,,,,,23-11 21 21 11 13 13 Concrete Arch Culverts,,34-55 14 27 Agent,13-23 23 29 Plenum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 50 10 Exterior Entrance Doors,11-13 21 71 Team and Unit Range,,,,,23-11 21 21 11 13 15 Concrete Box Culverts,,34-55 14 31 Specialist,13-23 25 00 Equipment Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 50 20 Exterior Utility Doors,11-13 21 74 Explosives and Flame Range,,,,,23-11 21 21 11 13 17 Concrete Rigid Frame Culverts,,34-61 00 00 Group Roles,13-23 27 00 Interstitial Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 50 30 Exterior Oversize Doors,11-13 21 77 Military Maintenance Facility,,,,,23-11 21 21 13 Catch Basins,,34-61 11 00 Teams,13-23 29 00 Unimproved Shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 50 40 Exterior Special Function Doors,11-13 21 77 11 Guided Missile Maintenance Facility,,,,,23-11 21 21 15 Channels,,34-61 11 11 Task Team,13-23 31 00 Alteration or Conversion Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 50 60 Exterior Grilles,11-13 21 77 14 Weapons and Spares Maintenance Facility,,,,,23-11 21 21 17 Cleanouts,,34-61 11 21 Task Force,13-25 00 00 Circulation Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 50 70 Exterior Gates,"11-13 21 77 17 Ammunition, Explosives, and Toxic Maintenance Facility",,,,,23-11 23 00 Parking Controls,,34-61 21 00 Boards,13-25 11 00 Primary Circulation Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 50 90 Exterior Door Supplementary Components,11-13 21 77 21 Miscellaneous Items and Equipment Maintenance Facility,,,,,23-11 23 11 Parking Meters,,34-61 21 11 Board of Directors,13-25 11 11 Corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 70 Exterior Louvers and Vents,11-13 21 77 24 Installation Repair and Operation Maintenance Facility,,,,,23-11 23 13 Parking Ticket Dispensers,,34-61 31 00 Committees,13-25 11 13 Aisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 70 10 Exterior Louvers,11-13 27 00 Public Welfare Facility,,,,,23-11 23 15 Parking Coin Machine Units,,34-61 31 21 Ad Hoc Committee,13-25 11 15 Mall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 70 50 Exterior Vents,11-13 27 11 Homeless Shelter,,,,,23-11 23 17 Parking Key and Card Control Units,,34-61 41 00 Business Organizations,13-25 11 17 Concourse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 80 Exterior Wall Appurtenances,11-13 27 14 Food Bank,,,,,23-11 23 19 Parking Gates,,34-61 41 11 Corporation,13-25 11 19 Breezeway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 80 10 Exterior Fixed Grilles and Screens,11-13 27 17 Forestry Guard Station,,,,,23-11 23 21 Parking Dividers,,34-61 41 21 Partnership,13-25 11 21 Moving Walkway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 80 30 Exterior Opening Protection Devices,11-13 27 21 Air Raid/Fallout Shelter,,,,,23-11 23 23 Parking Signs,,34-61 41 31 Sole Proprietorship,13-25 13 00 Transitional Circulation Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 80 50 Exterior Balcony Walls and Railings,11-13 27 23 Miscellaneous Personnel Shelter,,,,,23-11 23 23 11 Handicap Parking Signs,,34-61 41 41 Joint Venture,13-25 13 11 Entry Vestibule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 80 70 Exterior Fabrications,11-13 27 26 Public Restroom/Shower,,,,,23-11 23 23 13 Parking Time Zone Signs,,34-61 41 51 Single Purpose Entity,13-25 13 13 Entry Lobby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 80 80 Bird Control Devices,11-13 29 00 Juvenile Facility,,,,,23-11 23 23 15 Parking Tow Away Signs,,34-61 51 00 Nonprofit Organizations,13-25 13 15 Box Lobby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 20 90 Exterior Wall Specialties,11-13 29 11 Orphanage,,,,,23-11 25 00 Site Barrier Products,,34-61 51 11 Association,13-25 13 17 Vestibule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 Exterior Horizontal Enclosures,11-13 29 14 Foster Home,,,,,23-11 25 11 Perimeter Entry Devices,,34-61 51 21 Foundation,13-25 13 19 Elevator Lobby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 10 Roofing,11-14 00 00 Cultural Facility,,,,,23-11 25 11 11 Anti Ram Wedge Barriers,,34-61 51 31 Union,13-25 13 21 Freight Elevator Vestibule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 10 10 Steep Slope Roofing,11-14 15 00 Monument and Memorial,,,,,23-11 25 13 Perimeter Walls,,,13-25 13 23 Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 10 50 Low-Slope Roofing,11-14 21 00 Museum,,,,,23-11 25 13 11 Precast Perimeter Concrete Panel Perimeter Walls,,,13-25 13 25 Anteroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 10 70 Canopy Roofing,11-14 21 11 Art Museum,,,,,23-11 25 13 13 Precast Perimeter Post Perimeter Walls,,,13-25 13 27 Air Lock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 10 90 Roofing Supplementary Components,11-14 21 14 History Museum,,,,,23-11 25 15 Perimeter Gates,,,13-25 13 29 Sally Port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 20 Roof Appurtenances,11-14 21 17 Science and Technology Museum,,,,,23-11 25 15 11 Drop Arm Gates,,,13-25 13 31 Jet Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 20 10 Roof Accessories,11-14 21 21 Children’s Museum,,,,,23-11 25 15 11 11 Anti Ram Drop Arm Gates,,,13-25 15 00 Connector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 20 30 Roof Specialties,11-14 21 24 Special Purpose Museum,,,,,23-11 25 15 13 Rolling Gates,,,13-25 17 00 External Circulation Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 20 70 Rainwater Management,11-14 24 00 Religious Institution,,,,,23-11 25 15 15 Sliding Gates,,,13-25 19 00 Secondary Circulation Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 40 Traffic Bearing Horizontal Enclosures,11-14 24 11 Religious Facility,,,,,23-11 25 15 15 11 Anti Ram Sliding Gates,,,13-25 19 11 Door Set-Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 40 10 Traffic Bearing Coatings,11-14 24 15 Religious Education Facility,,,,,23-11 25 15 15 13 Anti Climb Sliding Gates,,,13-25 21 00 Restricted Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 40 30 Horizontal Waterproofing Membrane,11-14 24 18 Religious Monument or Icon,,,,,23-11 25 15 17 Swinging Gates,,,13-25 23 00 Refuge Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 40 50 Wear Surfaces,11-14 24 21 Religious Pilgrimage Site,,,,,23-11 25 15 19 Folding Gates,,,13-31 00 00 Education and Training Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 40 90 Horizontal Enclosure Supplementary Components,11-14 24 24 Religious Retreat,,,,,23-11 25 17 Gate Hardware,,,13-31 11 00 Breakout Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 60 Horizontal Openings,11-15 00 00 Recreation Facility,,,,,23-11 25 19 Fences,,,13-31 13 00 Lecture and Classroom Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 60 10 Roof Windows and Skylights,11-15 11 00 Outdoor Recreation Facility,,,,,23-11 25 19 11 Barbed Wire Fences,,,13-31 13 11 Lecture Classroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 60 50 Vents and Hatches,11-15 11 11 Nature Preserve,,,,,23-11 25 19 13 Concertina Wire Fences,,,13-31 13 13 Classrooms (age 9 plus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 60 90 Horizontal Opening Supplementary Components,11-15 11 14 Hunting Preserve,,,,,23-11 25 19 15 Composite Fences,,,13-31 13 15 Classrooms (ages 5–8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 80 Overhead Exterior Enclosures,11-15 11 21 Fishing Preserve,,,,,23-11 25 19 17 Ornamental Metal Fences,,,13-31 13 17 Lecture Hall (Fixed Seats),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 80 10 Exterior Ceilings,11-15 11 27 Target Range,,,,,23-11 25 19 19 Chain Link Metal Fences,,,13-31 13 19 Assembly Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 80 20 Exterior Soffits,11-15 11 34 Outdoor Winter Sports Facility,,,,,23-11 25 19 21 Panel Fences,,,13-31 13 21 Seminar Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-02 30 80 30 Exterior Bulkheads,11-15 11 34 11 Ski Slope,,,,,23-11 25 19 23 Plastic Fences,,,13-31 15 00 Class Laboratories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 00 00 Interiors,11-15 11 34 14 Outdoor Skating Rink,,,,,23-11 25 19 25 Post Fences,,,13-31 15 11 Open Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 Interior Construction,11-15 11 34 17 Snowmobile Course,,,,,23-11 25 19 27 Rail Fences,,,13-31 15 11 11 Physics Teaching Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 10 Interior Partitions,11-15 11 36 Golf Facility,,,,,23-11 25 19 29 Razor Wire Fences,,,13-31 15 11 13  Astronomy Teaching Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 10 10 Interior Fixed Partitions,11-15 11 36 11 Golf Driving Range,,,,,23-11 25 19 31 Wood Fences,,,13-31 15 13 Research/non-class Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 10 20 Interior Glazed Partitions,11-15 11 36 15 Golf Course,,,,,23-11 25 19 33 Fencing Fabrics,,,13-31 15 15 Laboratory Service Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 10 40 Interior Demountable Partitions,11-15 11 36 18 Miniature Golf Course,,,,,23-11 25 19 35 Fencing Accessories,,,13-31 17 00 Training Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 10 50 Interior Operable Partitions,11-15 11 36 21 Golf Pitch and Putt Course,,,,,23-11 25 19 35 11 Barbed Wire,,,13-31 17 11 Computer Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 10 70 Interior Screens,11-15 11 39 Playground,,,,,23-11 25 19 35 13 Concertina Wire,,,13-31 17 13 Woodshop/Metalshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 10 90 Interior Partition Supplementary Components,11-15 11 41 Outdoor Racquet Sports Facility,,,,,23-11 25 19 35 15 Fence Posts,,,13-31 17 15 Training Support Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 20 Interior Windows,11-15 11 41 11 Outdoor Tennis Facility,,,,,23-11 27 00 Landscaping,,,13-31 17 17 Religious Education Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 20 10 Interior Operating Windows,11-15 11 41 14 Outdoor Squash Facility,,,,,23-11 27 11 Plant Maintenance and Preparation Products,,,13-31 19 00 Study Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 20 20 Interior Fixed Windows,11-15 11 41 17 Outdoor Racquetball Facility,,,,,23-11 27 11 11 Topsoil,,,13-31 19 13 Study Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 20 50 Interior Special Function Windows,11-15 11 44 Outdoor Water Recreation Facility,,,,,23-11 27 11 11 11 Loam,,,13-31 19 15 Study Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 20 90 Interior Window Supplementary Components,11-15 11 44 11 Outdoor Swimming Pool,,,,,23-11 27 11 11 13 Peat Soil,,,13-33 00 00 Recreation Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 30 Interior Doors,11-15 11 44 14 Outdoor Water Park,,,,,23-11 27 11 13 Soil Fertilizers,,,13-33 11 00 Athletic Recreation Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 30 10 Interior Swinging Doors,11-15 11 47 Outdoor Team Sports Facility,,,,,23-11 27 11 15 Soil Herbicides,,,13-33 11 11 Athletic Spectator Seating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 30 20 Interior Entrance Doors,11-15 11 47 11 Outdoor Football Field,,,,,23-11 27 11 15 11 Combined Soil Fertilizer and Herbicides,,,13-33 11 11 11 Bleacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 30 25 Interior Sliding Doors,11-15 11 47 14 Outdoor Soccer Field,,,,,23-11 27 11 17 Mulch,,,13-33 11 13 Team Athletic Recreation Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 30 30 Interior Folding Doors,11-15 11 47 17 Outdoor Baseball or Softball Diamond,,,,,23-11 27 11 19 Soil Mats,,,13-33 11 13 11 Baseball Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 30 40 Interior Coiling Doors,11-15 11 47 21 Outdoor Basketball Court,,,,,23-11 27 11 21 Plant Netting,,,13-33 11 13 13 Softball Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 30 50 Interior Panel Doors,11-15 11 52 Outdoor Sports Training Facility,,,,,23-11 27 11 23 Landscaping Stakes,,,13-33 11 13 15 Dugouts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 30 70 Interior Special Function Doors,11-15 11 55 Pavilion,,,,,23-11 27 11 25 Landscaping Blankets,,,13-33 11 13 17 Grass Playing Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 30 80 Interior Access Doors and Panels,11-15 11 58 Animal Recreation Facility,,,,,23-11 27 11 27 Landscaping Ground Covers,,,13-33 11 13 19 Synthetic Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 30 90 Interior Door Supplementary Components,11-15 11 58 11 Zoo/Nature Facility,,,,,23-11 27 11 29 Landscaping Forms,,,13-33 11 13 21 Football Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 40 Interior Grilles and Gates,11-15 11 58 14 Wildlife Management Area,,,,,23-11 27 11 31 Landscaping Stabilizers,,,13-33 11 13 23 Soccer Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 40 10 Interior Grilles,11-15 11 98 Outdoor Multipurpose Recreation Facility,,,,,23-11 27 11 33 Lime,,,13-33 11 13 25 Basketball Courts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 40 50 Interior Gates,11-15 21 00 Indoor Recreation Facility,,,,,23-11 27 11 35 Mowing Equipment,,,13-33 11 13 27 Field Light Poles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 60 Raised Floor Construction,11-15 21 09 Indoor Team Sports Facility,,,,,23-11 27 11 35 11 Lawnmowers,,,13-33 11 13 29 Press Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 60 10 Access Flooring,11-15 21 09 11 Indoor Football Field,,,,,23-11 27 11 35 13 Garden Tractors,,,13-33 11 13 31 Scoreboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 60 30 Platform/Stage Floors,11-15 21 09 14 Indoor Soccer Field,,,,,23-11 27 11 37 Pruning Equipment,,,13-33 11 15 Individual Athletic Recreation Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 70 Suspended Ceiling Construction,11-15 21 09 17 Indoor Baseball or Softball Diamond,,,,,23-11 27 11 39 Watering Equipment,,,13-33 11 15 11 Hard Playing Surfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 70 10 Acoustical Suspended Ceilings,11-15 21 11 Indoor Team Court Sports Facility,,,,,23-11 27 13 Planting Accessories,,,13-33 11 15 13 Tennis Courts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 70 20 Suspended Plaster and Gypsum Board Ceilings,11-15 21 11 11 Indoor Basketball Court,,,,,23-11 27 13 11 Landscaping Edging,,,13-33 11 15 15 Volleyball Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 70 50 Specialty Suspended Ceilings,11-15 21 11 14 Indoor Volleyball Court,,,,,23-11 27 13 13 Landscape Timbers,,,13-33 11 15 17 Golf Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 70 70 Special Function Suspended Ceilings,11-15 21 14 Indoor Ice Skating Rink,,,,,23-11 27 13 15 Landscape Stone,,,13-33 11 15 19 Driving Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 70 90 Ceiling Suspension Components,11-15 21 21 Indoor Water Recreation Facility,,,,,23-11 27 13 15 11 Boulders,,,13-33 11 15 21 Golf Course Support Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 90 Interior Specialties,11-15 21 21 11 Indoor Swimming Pool,,,,,23-11 27 13 17 Planters,,,13-33 11 15 23 Skating Rink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 90 10 Interior Railings and Handrails,11-15 21 21 14 Indoor High Diving Facility,,,,,23-11 27 13 19 Tree Grates,,,13-33 11 15 25 Boxing Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 90 15 Interior Louvers,11-15 21 21 17 Indoor Water Park,,,,,23-11 27 13 21 Tree Grids,,,13-33 11 15 27 Wrestling Mat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 90 20 Information Specialties,11-15 21 24 Indoor Racquet Sports Facility,,,,,23-11 27 13 23 Tree Guards,,,13-33 11 15 29 Diving Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 90 25 Compartments and Cubicles,11-15 21 24 11 Indoor Tennis Facility,,,,,23-11 27 13 25 Plant Tubs,,,13-33 11 15 31 Bowling Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 90 30 Service Walls,11-15 21 24 14 Indoor Squash Facility,,,,,23-11 27 15 Irrigation Equipment,,,13-33 11 15 33 Dart Throwing Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 90 35 Wall and Door Protection,11-15 21 24 17 Indoor Racquetball Facility,,,,,23-11 27 15 11 Irrigation Sprinklers,,,13-33 11 15 35 Circuit Training Course Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"21-03 10 90 40 Toilet, Bath, and Laundry Accessories",11-15 21 28 Indoor Sports Training Facility,,,,,23-11 27 15 11 11 Installed Sprinkler Heads,,,13-33 11 15 37 Running Tracks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 90 45 Interior Gas Lighting,11-15 21 31 Indoor Individual Athletic Recreation Facility,,,,,23-11 27 15 11 13 Portable Lawn Sprinklers,,,13-33 11 15 39 Ski Lift Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 90 50 Fireplaces and Stoves,11-15 21 31 11 Fitness and Training Facility,,,,,23-11 27 15 13 Irrigation Hoses,,,13-33 11 15 41 Exercise Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 90 60 Safety Specialties,11-15 21 31 14 Martial Arts Facility,,,,,23-11 27 15 13 11 Irrigation Weep Hoses,,,13-33 11 15 43 Workout Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 90 70 Storage Specialties,11-15 21 31 17 Boxing Facility,,,,,23-11 27 17 Lawns and Grasses,,,13-33 11 15 45 Aerobic Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 10 90 90 Other Interior Specialties,11-15 21 31 21 Gymnastics Facility,,,,,23-11 27 17 11 Hydro Mulch,,,13-33 11 15 47 Climbing Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 20 Interior Finishes,11-15 21 37 Non-Athletic Indoor Recreation Facility,,,,,23-11 27 17 13 Grass Plugs,,,13-33 11 15 49 Ropes Course Elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 20 10 Wall Finishes,11-15 21 37 11 Bowling Alley,,,,,23-11 27 17 15 Grass Seeds and Soil Supplements,,,13-33 13 00 Swimming Pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 20 10 10 Tile Wall Finish,11-15 21 37 14 Billiards Facility,,,,,23-11 27 17 17 Sod,,,13-33 13 11 Outdoor Swimming Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 20 10 20 Wall Paneling,11-15 21 37 17 Amusement Arcade,,,,,23-11 27 19 Plants,,,13-33 13 13 Indoor Swimming Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 20 10 30 Wall Coverings,11-15 21 37 21 Social Club Facility,,,,,23-11 27 19 11 Shrubs,,,13-33 13 13 11 Diving Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-03 20 10 35 Wall Carpeting,11-15 21 98 Indoor Multipurpose Recreation Facility,,,,,23-11 27 19 13 Trees,,,13-33 15 00 Non-Athletic Recreation Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
